Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue colour),Custom field (Rank),Custom field (Start date),Custom field (Team),Comment,Status Category,Status Category Changed
Day 3 [Finance] Navodya - Writing Training Pipelines,KAN-20,10028,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,19/Aug/26 12:00 AM,0,"Finance,Day3","Industry: Finance | Models: Qwen-Finance + Llama-Finance | Write Qwen and Llama training scripts: load config, load model with 4-bit quantization, apply LoRA adapters, tokenize data, train for 3 epochs. Test on a small subset. Set up Weights & Biases for tracking.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i00047:,,,,To Do,16/Aug/26 1:54 AM
Day 3 [SME Daily Business] Deepana - Writing Training Pipelines,KAN-21,10029,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,19/Aug/26 12:00 AM,0,"SME-Daily-Business,Day3","Industry: SME Daily Business | Models: Qwen-SME + Llama-SME | Write Qwen and Llama training scripts: load config, load model with 4-bit quantization, apply LoRA adapters, tokenize data, train for 3 epochs. Test on a small subset. Set up Weights & Biases for tracking.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0004f:,,,,To Do,16/Aug/26 1:54 AM
Day 3 [Retail + E-commerce + Manufacturing] Rimaz - Writing Training Pipelines,KAN-22,10030,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,19/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day3","Industry: Retail + E-commerce + Manufacturing | Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Write Qwen and Llama training scripts: load config, load model with 4-bit quantization, apply LoRA adapters, tokenize data, train for 3 epochs. Test on a small subset. Set up Weights & Biases for tracking.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0004n:,,,,To Do,16/Aug/26 1:54 AM
Day 3 [Retail + E-commerce + Manufacturing] Thisal (Support) - Writing Training Pipelines,KAN-23,10031,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Thisal Sooriyanayaka,712020:41aba837-2ff7-4d28-bb41-91b248eeb978,Thisal Sooriyanayaka,712020:41aba837-2ff7-4d28-bb41-91b248eeb978,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,19/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day3,Support","Support role assisting Rimaz on the combined Retail + E-commerce + Manufacturing track (3 merged domains = extra data/testing volume). Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Write Qwen and Llama training scripts: load config, load model with 4-bit quantization, apply LoRA adapters, tokenize data, train for 3 epochs. Test on a small subset. Set up Weights & Biases for tracking.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0004v:,,,,To Do,16/Aug/26 1:54 AM
Day 4 [Healthcare] Kusal - Running v1 Training (Qwen + Llama),KAN-24,10032,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,20/Aug/26 12:00 AM,0,"Healthcare,Day4",Industry: Healthcare | Models: Qwen-Healthcare + Llama-Healthcare | Run Qwen and Llama training scripts simultaneously. Monitor loss and GPU memory. Save models as v1 (Qwen and Llama).,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i00053:,,,,To Do,16/Aug/26 1:54 AM
Day 4 [Finance] Navodya - Running v1 Training (Qwen + Llama),KAN-25,10033,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,20/Aug/26 12:00 AM,0,"Finance,Day4",Industry: Finance | Models: Qwen-Finance + Llama-Finance | Run Qwen and Llama training scripts simultaneously. Monitor loss and GPU memory. Save models as v1 (Qwen and Llama).,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0005b:,,,,To Do,16/Aug/26 1:54 AM
Day 4 [SME Daily Business] Deepana - Running v1 Training (Qwen + Llama),KAN-26,10034,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,20/Aug/26 12:00 AM,0,"SME-Daily-Business,Day4",Industry: SME Daily Business | Models: Qwen-SME + Llama-SME | Run Qwen and Llama training scripts simultaneously. Monitor loss and GPU memory. Save models as v1 (Qwen and Llama).,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0005j:,,,,To Do,16/Aug/26 1:54 AM
Day 4 [Retail + E-commerce + Manufacturing] Rimaz - Running v1 Training (Qwen + Llama),KAN-27,10035,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,20/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day4",Industry: Retail + E-commerce + Manufacturing | Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Run Qwen and Llama training scripts simultaneously. Monitor loss and GPU memory. Save models as v1 (Qwen and Llama).,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0005r:,,,,To Do,16/Aug/26 1:54 AM
Day 4 [Retail + E-commerce + Manufacturing] Thisal (Support) - Running v1 Training (Qwen + Llama),KAN-28,10036,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Thisal Sooriyanayaka,712020:41aba837-2ff7-4d28-bb41-91b248eeb978,Thisal Sooriyanayaka,712020:41aba837-2ff7-4d28-bb41-91b248eeb978,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,20/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day4,Support",Support role assisting Rimaz on the combined Retail + E-commerce + Manufacturing track (3 merged domains = extra data/testing volume). Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Run Qwen and Llama training scripts simultaneously. Monitor loss and GPU memory. Save models as v1 (Qwen and Llama).,,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0005z:,,,,To Do,16/Aug/26 1:54 AM
Day 5 [Healthcare] Kusal - Testing v1 + Synthetic Data Generation (v2 prep),KAN-29,10037,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,21/Aug/26 12:00 AM,0,"Healthcare,Day5","Industry: Healthcare | Models: Qwen-Healthcare + Llama-Healthcare | Test v1 models on test dataset; calculate BLEU/ROUGE. Manually test 20 domain questions, identify weak areas. Generate 500+ synthetic Q&A pairs on weak topics. Merge into train_v2.json and update configs for v2.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i00067:,,,,To Do,16/Aug/26 1:54 AM
Day 5 [Finance] Navodya - Testing v1 + Synthetic Data Generation (v2 prep),KAN-30,10038,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,21/Aug/26 12:00 AM,0,"Finance,Day5","Industry: Finance | Models: Qwen-Finance + Llama-Finance | Test v1 models on test dataset; calculate BLEU/ROUGE. Manually test 20 domain questions, identify weak areas. Generate 500+ synthetic Q&A pairs on weak topics. Merge into train_v2.json and update configs for v2.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0006f:,,,,To Do,16/Aug/26 1:54 AM
Day 5 [SME Daily Business] Deepana - Testing v1 + Synthetic Data Generation (v2 prep),KAN-31,10039,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Deepana Nirmal,712020:98bb3280-4325-469c-bbdb-9c6c1507f962,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,21/Aug/26 12:00 AM,0,"SME-Daily-Business,Day5","Industry: SME Daily Business | Models: Qwen-SME + Llama-SME | Test v1 models on test dataset; calculate BLEU/ROUGE. Manually test 20 domain questions, identify weak areas. Generate 500+ synthetic Q&A pairs on weak topics. Merge into train_v2.json and update configs for v2.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0006n:,,,,To Do,16/Aug/26 1:54 AM
Day 5 [Retail + E-commerce + Manufacturing] Rimaz - Testing v1 + Synthetic Data Generation (v2 prep),KAN-32,10040,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Rimaz Nowfel,712020:9c0313b2-01b9-49e5-a659-e00a816a1dab,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,21/Aug/26 12:00 AM,0,"Retail-Ecommerce-Manufacturing,Day5","Industry: Retail + E-commerce + Manufacturing | Models: Qwen-RetailEcomManufacturing + Llama-RetailEcomManufacturing | Test v1 models on test dataset; calculate BLEU/ROUGE. Manually test 20 domain questions, identify weak areas. Generate 500+ synthetic Q&A pairs on weak topics. Merge into train_v2.json and update configs for v2.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0006v:,,,,To Do,16/Aug/26 1:54 AM
Day 6 [Healthcare] Kusal - Running v2 Training + Self-Testing v2,KAN-33,10041,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Kusal Pabasara,712020:d4fe8ac9-ec10-465a-85f2-c10497da25da,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,24/Aug/26 12:00 AM,0,"Healthcare,Day6","Industry: Healthcare | Models: Qwen-Healthcare + Llama-Healthcare | Run Qwen and Llama training scripts using train_v2.json. Save models as v2. Run full evaluation (BLEU/ROUGE), manually test 30 questions, document v1-to-v2 improvements and remaining weaknesses.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i00073:,,,,To Do,16/Aug/26 1:54 AM
Day 6 [Finance] Navodya - Running v2 Training + Self-Testing v2,KAN-34,10042,Task,Idea,KAN,Via Codos POC (VC4B) ERDP,software,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,Medium,,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,navodya dissanayake,712020:3217b8d1-4da9-43e3-a79a-2ee0fab71124,Via Codos PVT LTD,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,16/Aug/26 1:54 AM,16/Aug/26 1:54 AM,,,24/Aug/26 12:00 AM,0,"Finance,Day6","Industry: Finance | Models: Qwen-Finance + Llama-Finance | Run Qwen and Llama training scripts using train_v2.json. Save models as v2. Run full evaluation (BLEU/ROUGE), manually test 30 questions, document v1-to-v2 improvements and remaining weaknesses.",,Via Codos PVT LTD,,712020:3735bded-17dc-4a9d-862b-d302c7b0654f,,,,,,,,,,,,0|i0007b:,,,,To Do,16/Aug/26 1:54 AM
